Product_ID,Product_Name,Brand,Category,Car_Model,Year_Compatibility,Cost_Price_USD,Sales_Price_USD,Stock_Level,Country_of_Origin,Supplier_Code,Warranty_Months,Weight_kg,Discontinued,Date_Added,Performance_Tier,Last_Updated
SUS-1802-8084,OS Giken Chassis Brace Kit (Toyota Supra JZA80),OS Giken,Suspension & Handling,Toyota Supra JZA80,1993–2002,717.36,872.82,72,Japan,SUP-OSG-4HN,12,19.24,FALSE,2/9/2018,Standard,5/9/2024
TRN-2404-2806,RAYS Lightweight Flywheel (Nissan Skyline R34 GT-R),RAYS,Transmission & Drivetrain,Nissan Skyline R34 GT-R,1999–2002,1687.53,2079.65,11,Japan,SUP-RAY-MPF,12,14.44,TRUE,4/16/2024,Standard,11/20/2024
EXT-2112-6835,HKS Rear Diffuser (Toyota 86 / Subaru BRZ (ZN6/ZC6)),HKS,Exterior & Aerodynamics,Toyota 86 / Subaru BRZ (ZN6/ZC6),2012–2016,1794.4,2138.93,18,Japan,SUP-HKS-WZY,6,13.29,FALSE,12/14/2021,Premium,8/5/2024
BRK-2305-5481,TANABE Monoblock Caliper Kit (Nissan Silvia S15),TANABE,Brakes & Rotors,Nissan Silvia S15,1999–2002,594.16,813.34,4,Japan,SUP-TAN-DAS,6,15.26,FALSE,5/5/2023,Budget,17-Feb-24
EXT-1708-3167,RAYS Tow Hook (Nissan Skyline R32 GT-R),RAYS,Exterior & Aerodynamics,Nissan Skyline R32 GT-R,1989–1994,1354.35,1681.42,54,Japan,SUP-RAY-3SK,6,12.38,FALSE,8/15/2017,Premium,20240519
ENG-2104-6047,TEIN Oil Pump High-Flow (Nissan Silvia S15),TEIN,Engine & Performance,Nissan Silvia S15,1999–2002,2283.72,3118.57,12,Japan,SUP-TEI-8K2,6,18.68,FALSE,4/9/2021,Premium,20240618
EXH-2501-9823,Mugen Cold Air Intake (Toyota Supra JZA80),Mugen,Exhaust & Intake,Toyota Supra JZA80,1993–2002,1174.25,1512.92,23,Japan,SUP-MUG-IBR,12,17.63,FALSE,1/29/2025,Standard,20240324
ENG-2308-9499,Mugen ECU Tuning Module (Nissan Skyline R33 GT-R),Mugen,Engine & Performance,Nissan Skyline R33 GT-R,1995–1998,883.75,1194.24,21,Japan,SUP-MUG-JWB,24,10.93,FALSE,8/20/2023,Budget,1-May-24
TRN-2109-3281,Project Mu Shift Knob Weighted (Nissan Skyline R32 GT-R),Project Mu,Transmission & Drivetrain,Nissan Skyline R32 GT-R,1989–1994,1494.18,1936.85,1,Japan,SUP-PRO-3XR,0,9.2,FALSE,9/28/2021,Premium,21/08/2024
EXH-2411-7248,Cusco High-Flow Catalytic Converter (Honda Civic Type R (EK9)),Cusco,Exhaust & Intake,Honda Civic Type R (EK9),1997–2000,792.68,1090.52,24,Japan,SUP-CUS-WNA,12,16.79,FALSE,11/7/2024,Standard,27/07/2024
SUS-1812-4958,Exedy Coilover Kit (Subaru Impreza WRX/STI (GD)),Exedy,Suspension & Handling,Subaru Impreza WRX/STI (GD),2001–2007,528.45,738.74,13,Japan,SUP-EXE-E5B,0,18.78,FALSE,12/2/2018,Standard,22-Jun-24
SUS-2207-4384,Mugen Pillowball Top Mounts (Nissan Skyline R34 GT-R),Mugen,Suspension & Handling,Nissan Skyline R34 GT-R,1999–2002,1150.37,1442.37,13,Japan,SUP-MUG-I56,12,17.49,FALSE,7/6/2022,Premium,3/1/2024
ENG-2008-9383,Fujitsubo ECU Tuning Module (Nissan Skyline R32 GT-R),Fujitsubo,Engine & Performance,Nissan Skyline R32 GT-R,1989–1994,1758.2,2571.25,10,Japan,SUP-FUJ-QGV,6,11.22,FALSE,8/17/2020,Standard,20240627
BRK-1808-7409,Project Mu Brake Pad Set (Nissan Skyline R32 GT-R),Project Mu,Brakes & Rotors,Nissan Skyline R32 GT-R,1989–1994,1192.89,1641.07,1,Japan,SUP-PRO-3XG,6,16.99,FALSE,8/4/2018,Standard,20240525
BRK-2111-4734,OS Giken Stainless Brake Lines (Mitsubishi Lancer Evolution VIII/IX),OS Giken,Brakes & Rotors,Mitsubishi Lancer Evolution VIII/IX,2003–2007,959.81,1171.82,69,Japan,SUP-OSG-MJO,12,1.36,FALSE,11/22/2021,Standard,20240417
ENG-2206-3142,RAYS Fuel Injector Kit (Nissan Skyline R33 GT-R),RAYS,Engine & Performance,Nissan Skyline R33 GT-R,1995–1998,1934.89,2654.83,10,Japan,SUP-RAY-CBI,12,6.91,FALSE,6/17/2022,Premium,21/05/2024
BRK-2008-2012,Spoon Handbrake Drift Button (Toyota 86 / Subaru BRZ (ZN6/ZC6)),Spoon,Brakes & Rotors,Toyota 86 / Subaru BRZ (ZN6/ZC6),2012–2016,219.43,297.34,11,Japan,SUP-SPO-YXW,0,4.24,FALSE,8/9/2020,Standard,2/17/2024
TRN-2308-4992,RAYS Driveshaft (Mitsubishi Lancer Evolution VIII/IX),RAYS,,Mitsubishi Lancer Evolution VIII/IX,2003–2007,837.23,947.92,3,Japan,SUP-RAY-UXJ,6,14.95,FALSE,8/24/2023,Premium,16-Dec-24
ENG-2205-4260,BLITZ ECU Tuning Module (Honda Civic Type R (EK9)),BLITZ,Engine & Performance,Honda Civic Type R (EK9),1997–2000,2171.13,2876.57,1,Japan,SUP-BLI-2PR,12,15.13,FALSE,5/30/2022,Budget,20240518
ENG-1908-8566,TEIN ECU Tuning Module (Subaru Impreza WRX/STI (GD)),TEIN,Engine & Performance,Subaru Impreza WRX/STI (GD),2001–2007,2204.99,3036.75,23,Japan,SUP-TEI-EDB,12,18.23,FALSE,8/5/2019,Standard,23/06/2024
SUS-1907-8379,Project Mu Camber Kit (Honda Civic Type R (EK9)),Project Mu,Suspension & Handling,Honda Civic Type R (EK9),1997–2000,1302.96,1702.25,11,Japan,SUP-PRO-6IW,12,7.5,TRUE,7/2/2019,Premium,21-Aug-24
TRN-1808-8701,Exedy Limited Slip Differential (Honda Civic Type R (EK9)),Exedy,Transmission & Drivetrain,Honda Civic Type R (EK9),1997–2000,1343.53,1783.57,60,Japan,SUP-EXE-1D2,6,11.06,FALSE,8/24/2018,Standard,4-Nov-24
TRN-1810-2924,Exedy Driveshaft (Honda Civic Type R (FK8)),Exedy,Transmission & Drivetrain,Honda Civic Type R (FK8),2017–2021,1611.83,2149.89,21,Japan,SUP-EXE-32A,12,4.67,FALSE,10/1/2018,Budget,27-Jan-24
TRN-2103-6253,Apexi Shift Knob Weighted (Mazda RX-7 FD3S),Apexi,Transmission & Drivetrain,Mazda RX-7 FD3S,1992–2002,332.66,441.18,15,Japan,SUP-APE-OW3,6,10.74,FALSE,3/3/2021,Standard,20240712
ENG-2203-9017,Bride Camshaft Set (Honda Civic Type R (FK8)),Bride,Engine & Performance,Honda Civic Type R (FK8),2017–2021,1286.6,1886.22,2,Japan,SUP-BRI-50I,24,4.72,FALSE,3/4/2022,Budget,12-Oct-24
EXH-2508-7872,Tomei Resonated Mid-Pipe (Toyota Supra JZA80),Tomei,Exhaust & Intake,Toyota Supra JZA80,1993–2002,273.95,358.97,38,Japan,SUP-TOM-BO7,12,12.62,FALSE,8/15/2025,Budget,20240623
EXT-1908-7512,Tomei Rear Wing (Toyota 86 / Subaru BRZ (ZN6/ZC6)),Tomei,Exterior & Aerodynamics,Toyota 86 / Subaru BRZ (ZN6/ZC6),2012–2016,1046.36,1363.98,23,Japan,SUP-TOM-XV6,12,12.35,FALSE,8/20/2019,Standard,21-Feb-24
BRK-2402-4856,Mugen Pad Wear Sensor (Toyota Supra JZA80),Mugen,Brakes & Rotors,Toyota Supra JZA80,1993–2002,804.09,1086.8,32,Japan,SUP-MUG-QYT,12,3.95,FALSE,2/26/2024,Premium,4/3/2024
TRN-1708-4421,TANABE Gear Set (Nissan Skyline R33 GT-R),TANABE,Transmission & Drivetrain,Nissan Skyline R33 GT-R,1995–1998,1800.15,2439.98,17,Japan,SUP-TAN-AVY,12,17.47,TRUE,8/30/2017,Premium,20241115
SUS-1910-7105,TEIN Camber Kit (Toyota Supra JZA80),TEIN,Suspension & Handling,Toyota Supra JZA80,1993–2002,914.37,1346.93,20,Japan,SUP-TEI-GKN,12,9.09,FALSE,10/22/2019,Standard,8/4/2024
SUS-1909-5799,GReddy Stabilizer Sway Bar (Subaru Impreza WRX/STI (GD)),GReddy,Suspension & Handling,Subaru Impreza WRX/STI (GD),2001–2007,1459.92,1940.34,8,Japan,SUP-GRE-AR1,12,16.42,FALSE,9/3/2019,Standard,17/04/2024
EXH-2404-8912,HKS Titanium Muffler (Mazda RX-7 FD3S),HKS,Exhaust & Intake,Mazda RX-7 FD3S,1992–2002,1534.9,2006.76,23,Japan,SUP-HKS-FSI,12,16.85,FALSE,4/12/2024,Standard,26-Jun-24
ENG-2402-9656,RAYS ECU Tuning Module (Honda Civic Type R (FK8)),RAYS,Engine & Performance,Honda Civic Type R (FK8),2017–2021,2257.84,2895.64,73,Japan,SUP-RAY-F2V,12,20.59,FALSE,2/5/2024,Standard,12-May-24
BRK-2502-4245,Cusco Brake Cooling Ducts (Nissan Skyline R33 GT-R),Cusco,Brakes & Rotors,Nissan Skyline R33 GT-R,1995–1998,916.62,1203.83,56,Japan,SUP-CUS-KD9,12,2.03,FALSE,2/24/2025,Premium,10/12/2024
ENG-2001-7307,RAYS Boost Controller (Nissan Skyline R34 GT-R),RAYS,Engine & Performance,Nissan Skyline R34 GT-R,1999–2002,418.71,567.42,55,Japan,SUP-RAY-NCW,12,24.3,FALSE,1/31/2020,Standard,20241212
ENG-2409-1023,Koyo ECU Tuning Module (Toyota 86 / Subaru BRZ (ZN6/ZC6)),Koyo,Engine & Performance,Toyota 86 / Subaru BRZ (ZN6/ZC6),2012–2016,3526.77,4991.44,14,Japan,SUP-KOY-ZGA,24,14.43,TRUE,9/13/2024,Premium,20240723
EXH-2003-9200,RAYS Intake Air Filter Kit (Nissan Skyline R33 GT-R),RAYS,Exhaust & Intake,Nissan Skyline R33 GT-R,1995–1998,1303.7,1617.76,16,Japan,SUP-RAY-5K0,12,11.89,FALSE,3/11/2020,Standard,6/8/2024
ENG-2107-6634,Cusco Boost Controller (Mitsubishi Lancer Evolution VIII/IX),Cusco,Engine & Performance,Mitsubishi Lancer Evolution VIII/IX,2003–2007,1134.39,1406.29,15,Japan,SUP-CUS-G6N,12,22.01,FALSE,7/30/2021,Standard,5-Apr-24
EXH-2511-1545,Tomei Resonated Mid-Pipe (Subaru Impreza WRX/STI (GD)),Tomei,Exhaust & Intake,Subaru Impreza WRX/STI (GD),2001–2007,922.42,1219.43,73,Japan,SUP-TOM-9LT,12,7,FALSE,11/3/2025,Standard,6-Apr-24
ENG-1709-9608,HKS ECU Tuning Module (Toyota Supra JZA80),HKS,Engine & Performance,Toyota Supra JZA80,1993–2002,2789.43,3987.87,11,Japan,SUP-HKS-AKH,24,14.95,TRUE,9/26/2017,Premium,20240717
