Effective_Month,Customer_Category,Min_Discount,Max_Discount,Standard_Discount,Promo_Discount,Seasonal_Event,Date_Approved,Remarks,Discount_Percent
2014-01,Retail Enthusiast,0,0.06,0.033,,,12/27/2013,Aligned with supplier rebate,0.1
2014-01,Retail Enthusiast,0.055,0.144,0.097,,,12/26/2013,Inventory clearance,0.1
2014-01,Retail Enthusiast,0.132,0.264,0.184,,,12/31/2013,FX hedged; stable pricing,0.1
2014-01,Retail Enthusiast,0.165,0.336,0.243,0.398,New Year Clearance,12/28/2013,Quarterly adjustment,0.1
2014-01,Workshop / Garage,0,0.055,0.028,,,12/25/2013,,0.1
2014-01,Workshop / Garage,0.05,0.132,0.091,,,12/27/2013,Inventory clearance,0.1
2014-01,Workshop / Garage,0.12,0.242,0.177,,,12/24/2013,,—
2014-01,Workshop / Garage,0.15,0.308,0.233,0.337,New Year Clearance,12/30/2013,Aligned with supplier rebate,—
2014-01,Dealer / Reseller,0,0.05,0.026,,,12/27/2013,Quarterly adjustment,0.1
2014-01,Dealer / Reseller,0.045,0.12,0.086,,,12/30/2013,Inventory clearance,0.1
2014-01,Dealer / Reseller,0.108,0.22,0.176,,,12/25/2013,Quarterly adjustment,—
2014-01,Dealer / Reseller,0.135,0.28,0.227,0.322,New Year Clearance,12/28/2013,Aligned with supplier rebate,10
2014-01,Motorsport Team,0,0.048,0.022,,,12/31/2013,FX hedged; stable pricing,0.1
2014-01,Motorsport Team,0.043,0.114,0.085,,,12/26/2013,,0.1
2014-01,Motorsport Team,0.102,0.209,0.15,,,12/28/2013,,0.1
2014-01,Motorsport Team,0.128,0.266,0.183,0.301,New Year Clearance,12/26/2013,Inventory clearance,0.1
2014-01,Distributor / Importer,0,0.045,0.022,,,12/26/2013,Inventory clearance,10
2014-01,Distributor / Importer,0.04,0.108,0.067,,,12/29/2013,FX hedged; stable pricing,0.1
2014-01,Distributor / Importer,0.096,0.198,0.151,,,12/28/2013,,0.1
2014-01,Distributor / Importer,0.12,0.252,0.181,0.279,New Year Clearance,12/31/2013,,0.1
2014-02,Retail Enthusiast,0,0.06,0.033,,,1/24/2014,,0.1
2014-02,Retail Enthusiast,0.055,0.144,0.104,,,1/28/2014,FX hedged; stable pricing,0.1
2014-02,Retail Enthusiast,0.132,0.264,0.183,,,1/29/2014,Inventory clearance,0.1
2014-02,Retail Enthusiast,0.165,0.336,0.243,,,1/24/2014,Aligned with supplier rebate,0.1
2014-02,Workshop / Garage,0,0.055,0.026,,,1/29/2014,FX hedged; stable pricing,"0,1"
2014-02,Workshop / Garage,0.05,0.132,0.091,,,1/26/2014,Quarterly adjustment,0.1
2014-02,Workshop / Garage,0.12,0.242,0.171,,,1/30/2014,,0.1
2014-02,Workshop / Garage,0.15,0.308,0.218,,,1/25/2014,Aligned with supplier rebate,0.1
2014-02,Dealer / Reseller,0,0.05,0.023,,,1/27/2014,,0.1
2014-02,Dealer / Reseller,0.045,0.12,0.083,,,1/23/2014,Aligned with supplier rebate,0.1
2014-02,Dealer / Reseller,0.108,0.22,0.158,,,1/25/2014,FX hedged; stable pricing,0
2014-02,Dealer / Reseller,0.135,0.28,0.196,,,1/27/2014,,fifteen
2014-02,Motorsport Team,0,0.048,0.022,,,1/25/2014,,0.1
2014-02,Motorsport Team,0.043,0.114,0.073,,,1/23/2014,Inventory clearance,0.1
2014-02,Motorsport Team,0.102,0.209,0.141,,,1/27/2014,Quarterly adjustment,0.1
2014-02,Motorsport Team,0.128,0.266,0.193,,,1/24/2014,Inventory clearance,0.1
2014-02,Distributor / Importer,0,0.045,0.021,,,1/24/2014,FX hedged; stable pricing,0.1
2014-02,Distributor / Importer,0.04,0.108,0.07,,,1/30/2014,FX hedged; stable pricing,0.1
2014-02,Distributor / Importer,0.096,0.198,0.14,,,1/24/2014,FX hedged; stable pricing,10
2014-02,Distributor / Importer,0.12,0.252,0.18,,,1/23/2014,Aligned with supplier rebate,0.1
2014-03,Retail Enthusiast,0,0.06,0.033,,,2/26/2014,FX hedged; stable pricing,0.1
2014-03,Retail Enthusiast,0.055,0.144,0.092,,,2/28/2014,,0.1
2014-03,Retail Enthusiast,0.132,0.264,0.211,,,2/21/2014,Quarterly adjustment,0.1
2014-03,Retail Enthusiast,0.165,0.336,0.233,,,2/28/2014,Quarterly adjustment,0
2014-03,Workshop / Garage,0,0.055,0.025,,,2/26/2014,FX hedged; stable pricing,0.1
2014-03,Workshop / Garage,0.05,0.132,0.085,,,2/24/2014,Aligned with supplier rebate,0.1
2014-03,Workshop / Garage,0.12,0.242,0.197,,,2/27/2014,FX hedged; stable pricing,0.1
2014-03,Workshop / Garage,0.15,0.308,0.239,,,2/27/2014,Quarterly adjustment,10
2014-03,Dealer / Reseller,0,0.05,0.026,,,2/27/2014,Quarterly adjustment,0.1
2014-03,Dealer / Reseller,0.045,0.12,0.089,,,2/20/2014,FX hedged; stable pricing,—
2014-03,Dealer / Reseller,0.108,0.22,0.166,,,2/25/2014,Quarterly adjustment,10
2014-03,Dealer / Reseller,0.135,0.28,0.217,,,2/20/2014,FX hedged; stable pricing,0.1
2014-03,Motorsport Team,0,0.048,0.025,,,2/26/2014,FX hedged; stable pricing,fifteen
2014-03,Motorsport Team,0.043,0.114,0.081,,,2/28/2014,FX hedged; stable pricing,0.1
2014-03,Motorsport Team,0.102,0.209,0.167,,,2/22/2014,Quarterly adjustment,—
2014-03,Motorsport Team,0.128,0.266,0.194,,,2/28/2014,Quarterly adjustment,0.1
2014-03,Distributor / Importer,0,0.045,0.022,,,2/25/2014,FX hedged; stable pricing,0.1
2014-03,Distributor / Importer,0.04,0.108,0.073,,,2/22/2014,Inventory clearance,0.1
2014-03,Distributor / Importer,0.096,0.198,0.146,,,2/22/2014,Inventory clearance,0.1
2014-03,Distributor / Importer,0.12,0.252,0.202,,,2/26/2014,Inventory clearance,0.1
2014-04,Retail Enthusiast,0,0.06,0.029,,,3/25/2014,Inventory clearance,0.1
2014-04,Retail Enthusiast,0.055,0.144,0.095,,,3/23/2014,FX hedged; stable pricing,0.1
2014-04,Retail Enthusiast,0.132,0.264,0.181,,,3/25/2014,,0.1
2014-04,Retail Enthusiast,0.165,0.336,0.243,,,3/23/2014,,0.1
2014-04,Workshop / Garage,0,0.055,0.025,,,3/29/2014,,0.1
2014-04,Workshop / Garage,0.05,0.132,0.095,,,3/24/2014,Quarterly adjustment,—
2014-04,Workshop / Garage,0.12,0.242,0.193,,,3/29/2014,Aligned with supplier rebate,10.00%
2014-04,Workshop / Garage,0.15,0.308,0.218,,,3/30/2014,FX hedged; stable pricing,0.1
